,date,open,close,high,low,volume,money
0,2005-01-04,3.43,3.37,3.43,3.35,828710.0,2805199.0
1,2005-01-05,3.4,3.43,3.49,3.37,808705.0,2767717.0
2,2005-01-06,3.43,3.41,3.49,3.4,623548.0,2134002.0
3,2005-01-07,3.38,3.48,3.55,3.35,1602216.0,5542722.0
4,2005-01-10,3.5,3.57,3.57,3.48,3606404.0,12742566.0
5,2005-01-11,3.58,3.56,3.59,3.51,1172713.0,4151281.0
6,2005-01-12,3.58,3.51,3.58,3.46,939579.0,3290686.0
7,2005-01-13,3.51,3.56,3.58,3.47,1336717.0,4701148.0
8,2005-01-14,3.52,3.48,3.56,3.47,952989.0,3337475.0
9,2005-01-17,3.44,3.45,3.46,3.39,1076113.0,3685547.0
10,2005-01-18,3.42,3.46,3.48,3.41,623552.0,2139689.0
11,2005-01-19,3.47,3.43,3.47,3.41,585259.0,2004598.0
12,2005-01-20,3.4,3.39,3.42,3.28,1609339.0,5392672.0
13,2005-01-21,3.45,3.48,3.48,3.36,3231242.0,11078281.0
14,2005-01-24,3.58,3.54,3.59,3.48,2090175.0,7382017.0
15,2005-01-25,3.53,3.5,3.53,3.46,1213689.0,4234221.0
16,2005-01-26,3.5,3.43,3.5,3.42,718413.0,2490037.0
17,2005-01-27,3.44,3.43,3.48,3.41,615710.0,2118297.0
18,2005-01-28,3.4,3.36,3.46,3.35,829427.0,2798149.0
19,2005-01-31,3.35,3.24,3.35,3.22,1319703.0,4312143.0
20,2005-02-01,3.24,3.32,3.36,3.18,2262425.0,7434774.0
21,2005-02-02,3.32,3.48,3.49,3.31,3952947.0,13507609.0
22,2005-02-03,3.49,3.47,3.5,3.37,2076542.0,7122004.0
23,2005-02-04,3.43,3.51,3.53,3.38,3030331.0,10580179.0
24,2005-02-16,3.62,3.55,3.68,3.53,5876696.0,20999210.0
25,2005-02-17,3.59,3.51,3.59,3.45,3224396.0,11247762.0
26,2005-02-18,3.51,3.44,3.52,3.44,1069352.0,3706287.0
27,2005-02-21,3.45,3.48,3.52,3.43,1296167.0,4509405.0
28,2005-02-22,3.49,3.55,3.56,3.49,2856696.0,10089296.0
29,2005-02-23,3.58,3.6,3.66,3.51,4862788.0,17482523.0
30,2005-02-24,3.58,3.56,3.58,3.51,2582949.0,9160957.0
31,2005-02-25,3.53,3.54,3.61,3.53,2775497.0,9914116.0
32,2005-02-28,3.52,3.49,3.56,3.48,2050178.0,7203447.0
33,2005-03-01,3.49,3.45,3.51,3.43,1995674.0,6912099.0
34,2005-03-02,3.45,3.41,3.48,3.4,1668712.0,5745030.0
35,2005-03-03,3.41,3.44,3.44,3.38,1257853.0,4282253.0
36,2005-03-04,3.45,3.39,3.45,3.38,981526.0,3347984.0
37,2005-03-07,3.38,3.41,3.42,3.38,1015730.0,3454466.0
38,2005-03-08,3.4,3.45,3.46,3.4,1218725.0,4181226.0
39,2005-03-09,3.45,3.41,3.48,3.38,1585628.0,5419315.0
40,2005-03-10,3.4,3.31,3.4,3.31,1892616.0,6358044.0
41,2005-03-11,3.29,3.3,3.33,3.26,1891108.0,6221319.0
42,2005-03-14,3.3,3.25,3.3,3.22,1793809.0,5831830.0
43,2005-03-15,3.25,3.22,3.27,3.2,1589946.0,5119286.0
44,2005-03-16,3.2,3.25,3.25,3.2,1270073.0,4080957.0
45,2005-03-17,3.23,3.07,3.23,3.06,2374634.0,7454665.0
46,2005-03-18,3.06,2.86,3.06,2.81,4861702.0,14032193.0
47,2005-03-21,2.82,2.89,2.89,2.81,1948484.0,5588888.0
48,2005-03-22,2.89,2.68,2.9,2.68,3239273.0,8919099.0
49,2005-03-23,2.67,2.7,2.77,2.65,2268309.0,6160744.0
50,2005-03-24,2.69,2.77,2.81,2.66,2090490.0,5760538.0
51,2005-03-25,2.77,2.76,2.79,2.72,1222407.0,3372025.0
52,2005-03-28,2.76,2.73,2.77,2.65,1374967.0,3702765.0
53,2005-03-29,2.73,2.72,2.76,2.7,1065901.0,2908762.0
54,2005-03-30,2.7,2.77,2.98,2.63,5546266.0,15599574.0
55,2005-03-31,2.74,2.85,2.87,2.7,3943275.0,11080776.0
56,2005-04-01,2.85,2.89,2.92,2.78,3956580.0,11298171.0
57,2005-04-04,2.88,2.81,2.88,2.78,2080810.0,5880474.0
58,2005-04-05,2.79,2.84,2.94,2.78,3451713.0,9965309.0
59,2005-04-06,2.78,2.82,2.84,2.76,2288741.0,6396930.0
60,2005-04-07,2.81,2.96,3.02,2.78,7638698.0,22345335.0
61,2005-04-08,2.98,3.1,3.1,2.97,9826181.0,29896786.0
62,2005-04-11,3.09,3.03,3.15,3.01,5306115.0,16221705.0
63,2005-04-12,3.03,2.99,3.08,2.98,3043384.0,9189962.0
64,2005-04-13,2.99,3.03,3.09,2.99,3043843.0,9231547.0
65,2005-04-14,3.03,2.87,3.07,2.86,3827158.0,11230136.0
66,2005-04-15,2.85,2.78,2.86,2.77,2094300.0,5865288.0
67,2005-04-18,2.78,2.8,2.8,2.72,1660844.0,4553304.0
68,2005-04-19,2.82,2.74,2.83,2.69,1604971.0,4419098.0
69,2005-04-20,2.73,2.6,2.73,2.58,3240537.0,8646723.0
70,2005-04-21,2.6,2.61,2.67,2.59,2000353.0,5255825.0
71,2005-04-22,2.61,2.53,2.65,2.49,2361365.0,6016748.0
72,2005-04-25,2.52,2.47,2.53,2.41,2196925.0,5370204.0
73,2005-04-26,2.47,2.57,2.6,2.47,1630265.0,4153995.0
74,2005-04-27,2.6,2.54,2.6,2.53,1090970.0,2787545.0
75,2005-04-28,2.55,2.68,2.73,2.45,3214092.0,8358009.0
76,2005-04-29,2.65,2.66,2.74,2.59,2484362.0,6623251.0
77,2005-05-09,2.65,2.53,2.68,2.52,1605315.0,4156857.0
78,2005-05-10,2.53,2.55,2.58,2.44,2082941.0,5235942.0
79,2005-05-11,2.55,2.59,2.66,2.51,2740302.0,7103425.0
80,2005-05-12,2.56,2.48,2.6,2.47,1804636.0,4552786.0
81,2005-05-13,2.47,2.52,2.56,2.46,1643764.0,4122701.0
82,2005-05-16,2.5,2.52,2.53,2.43,1254129.0,3104742.0
83,2005-05-17,2.51,2.6,2.65,2.49,2633421.0,6779471.0
84,2005-05-18,2.57,2.66,2.67,2.56,3277935.0,8603180.0
85,2005-05-19,2.66,2.62,2.7,2.59,1912105.0,5009626.0
86,2005-05-20,2.61,2.56,2.65,2.55,1645680.0,4297157.0
87,2005-05-23,2.54,2.5,2.55,2.48,1172299.0,2935711.0
88,2005-05-24,2.49,2.56,2.57,2.48,939781.0,2386536.0
89,2005-05-25,2.57,2.61,2.65,2.53,1971844.0,5126804.0
90,2005-05-26,2.59,2.53,2.61,2.52,1147694.0,2940432.0
91,2005-05-27,2.51,2.52,2.57,2.5,870349.0,2205706.0
92,2005-05-30,2.51,2.55,2.56,2.5,864238.0,2186727.0
93,2005-05-31,2.54,2.55,2.59,2.53,739200.0,1889579.0
94,2005-06-01,2.55,2.51,2.55,2.5,881535.0,2214786.0
95,2005-06-02,2.51,2.5,2.52,2.46,1026751.0,2555911.0
96,2005-06-03,2.48,2.45,2.51,2.44,1088297.0,2684772.0
97,2005-06-06,2.45,2.52,2.52,2.45,1060182.0,2628570.0
98,2005-06-07,2.53,2.55,2.6,2.52,2360193.0,6041502.0
99,2005-06-08,2.57,2.71,2.74,2.54,6812909.0,18076136.0
100,2005-06-09,2.71,2.68,2.8,2.63,6514209.0,17549018.0
101,2005-06-10,2.7,2.65,2.77,2.63,3949021.0,10610594.0
102,2005-06-13,2.63,2.65,2.71,2.6,1996870.0,5272789.0
103,2005-06-14,2.64,2.59,2.67,2.58,2078650.0,5447868.0
104,2005-06-15,2.57,2.49,2.58,2.45,2258550.0,5673510.0
105,2005-06-16,2.5,2.51,2.53,2.48,1659283.0,4154721.0
106,2005-06-17,2.51,2.5,2.54,2.46,1735224.0,4310363.0
107,2005-06-20,2.52,2.56,2.56,2.45,2677344.0,6739295.0
108,2005-06-21,2.54,2.55,2.56,2.5,1487746.0,3768272.0
109,2005-06-22,2.57,2.62,2.63,2.55,4748115.0,12378795.0
110,2005-06-23,2.62,2.56,2.63,2.55,1916695.0,4975151.0
111,2005-06-24,2.51,2.55,2.57,2.51,1137909.0,2894379.0
112,2005-06-27,2.57,2.6,2.63,2.56,2635064.0,6850134.0
113,2005-06-28,2.59,2.53,2.59,2.52,1050299.0,2673092.0
114,2005-06-29,2.56,2.53,2.58,2.52,903215.0,2294339.0
115,2005-07-01,2.46,2.28,2.46,2.28,4129134.0,9558333.0
116,2005-07-04,2.25,2.05,2.25,2.05,3282223.0,6766342.0
117,2005-07-05,2.01,2.02,2.05,1.95,3326290.0,6664007.0
118,2005-07-06,1.99,2.05,2.05,1.99,2550082.0,5139104.0
119,2005-07-07,2.07,2.12,2.15,2.06,5010830.0,10618907.0
120,2005-07-08,2.12,2.02,2.12,2.0,2255343.0,4596403.0
121,2005-07-11,2.0,2.0,2.11,1.99,1692318.0,3460238.0
122,2005-07-12,2.0,2.05,2.06,1.98,2547009.0,5165036.0
123,2005-07-13,2.05,2.07,2.1,2.01,2778895.0,5708701.0
124,2005-07-14,2.05,2.03,2.07,2.02,1727563.0,3529593.0
125,2005-07-15,2.05,2.03,2.08,2.02,1771246.0,3616366.0
126,2005-07-18,2.04,1.83,2.06,1.83,4357277.0,8170588.0
127,2005-07-19,1.8,1.95,1.96,1.72,7700536.0,14278929.0
128,2005-07-20,1.9,1.95,2.02,1.86,7785606.0,15117259.0
129,2005-07-21,1.91,1.91,1.95,1.87,3434200.0,6526282.0
130,2005-07-22,1.95,2.01,2.09,1.93,9853215.0,19842570.0
131,2005-07-25,2.0,2.03,2.07,1.98,4799170.0,9748804.0
132,2005-07-26,2.05,2.1,2.14,2.02,7892001.0,16390560.0
133,2005-07-27,2.1,2.12,2.13,2.05,6235358.0,13055084.0
134,2005-07-28,2.11,2.14,2.19,2.08,9080774.0,19388866.0
135,2005-07-29,2.12,2.08,2.12,2.06,4164723.0,8712287.0
136,2005-08-01,2.08,2.1,2.14,2.06,3450484.0,7237486.0
137,2005-08-02,2.1,2.14,2.15,2.08,4655721.0,9887894.0
138,2005-08-03,2.18,2.35,2.35,2.16,11811802.0,27214605.0
139,2005-08-04,2.4,2.27,2.4,2.23,14431722.0,33351099.0
140,2005-08-05,2.28,2.34,2.35,2.26,10711556.0,24679217.0
141,2005-08-08,2.34,2.33,2.36,2.28,9463719.0,21980521.0
142,2005-08-09,2.33,2.43,2.44,2.26,11882436.0,28059953.0
143,2005-08-10,2.45,2.47,2.49,2.39,13809343.0,33803059.0
144,2005-08-11,2.47,2.46,2.47,2.42,6762356.0,16543969.0
145,2005-08-12,2.46,2.37,2.58,2.36,11930001.0,29661365.0
146,2005-08-15,2.37,2.43,2.45,2.33,6209093.0,14747293.0
147,2005-08-16,2.43,2.37,2.45,2.34,5079235.0,12094663.0
148,2005-08-17,2.35,2.43,2.46,2.26,10239226.0,24418507.0
149,2005-08-18,2.43,2.37,2.65,2.36,18804632.0,47484806.0
150,2005-08-19,2.36,2.37,2.43,2.29,7225641.0,16923896.0
151,2005-08-22,2.37,2.41,2.44,2.31,4288760.0,10186462.0
152,2005-08-23,2.4,2.38,2.42,2.33,3571897.0,8483454.0
153,2005-08-24,2.41,2.47,2.48,2.41,9613304.0,23658776.0
154,2005-08-25,2.47,2.48,2.53,2.43,5012155.0,12395390.0
155,2005-08-26,2.49,2.47,2.49,2.41,4192222.0,10252714.0
156,2005-08-29,2.47,2.39,2.47,2.37,4474301.0,10766627.0
157,2005-08-30,2.36,2.33,2.37,2.33,3520311.0,8267634.0
158,2005-08-31,2.33,2.56,2.56,2.33,14743643.0,36915874.0
159,2005-09-01,2.6,2.64,2.68,2.55,28178380.0,74154595.0
160,2005-09-02,2.6,2.6,2.65,2.54,11950787.0,30959071.0
161,2005-09-05,2.6,2.72,2.8,2.58,16158225.0,43602358.0
162,2005-09-06,2.7,2.79,2.97,2.68,25921181.0,72917870.0
163,2005-09-07,2.76,2.85,2.93,2.73,18337690.0,52345761.0
164,2005-09-08,2.84,2.77,2.86,2.75,11476384.0,32020062.0
165,2005-09-09,2.77,2.8,2.85,2.74,7359920.0,20511318.0
166,2005-09-12,2.82,2.84,2.92,2.8,8231810.0,23484927.0
167,2005-09-13,2.84,2.86,2.88,2.79,8645975.0,24489688.0
168,2005-09-14,2.87,2.85,2.89,2.82,7919539.0,22556460.0
169,2005-09-15,2.85,2.79,2.85,2.77,7340109.0,20536927.0
170,2005-09-16,2.79,2.82,2.86,2.76,5777642.0,16245094.0
171,2005-09-19,2.83,2.83,2.84,2.78,5786454.0,16277876.0
172,2005-09-20,2.83,2.78,2.83,2.75,6449351.0,17881513.0
173,2005-09-21,2.77,2.67,2.78,2.66,6478563.0,17526975.0
174,2005-09-22,2.66,2.51,2.66,2.4,8628043.0,21866735.0
175,2005-09-23,2.5,2.47,2.53,2.45,3828013.0,9534105.0
176,2005-09-26,2.45,2.5,2.51,2.45,2264151.0,5636107.0
177,2005-09-27,2.51,2.38,2.52,2.36,3798349.0,9205019.0
178,2005-09-28,2.38,2.38,2.43,2.34,3353404.0,8012955.0
179,2005-09-29,2.37,2.46,2.48,2.37,4354597.0,10594814.0
180,2005-09-30,2.46,2.41,2.46,2.41,2169344.0,5267432.0
181,2005-10-10,2.45,2.34,2.45,2.34,1980149.0,4709207.0
182,2005-10-11,2.34,2.44,2.45,2.29,2941037.0,6955273.0
183,2005-10-12,2.46,2.49,2.51,2.42,5648590.0,14030282.0
184,2005-10-13,2.5,2.43,2.5,2.41,2315460.0,5659661.0
185,2005-10-14,2.43,2.39,2.45,2.38,1881496.0,4523201.0
186,2005-10-17,2.37,2.41,2.44,2.37,2343673.0,5643853.0
187,2005-10-18,2.4,2.47,2.48,2.39,2570339.0,6257370.0
188,2005-10-19,2.47,2.41,2.47,2.4,2321839.0,5658431.0
189,2005-10-20,2.4,2.38,2.41,2.35,2304321.0,5464006.0
190,2005-10-21,2.38,2.42,2.44,2.38,2458219.0,5950427.0
191,2005-10-24,2.41,2.42,2.43,2.38,1762291.0,4227446.0
192,2005-10-25,2.4,2.36,2.41,2.35,2456662.0,5820359.0
193,2005-10-26,2.34,2.24,2.35,2.2,4610899.0,10506450.0
194,2005-10-27,2.22,2.22,2.27,2.18,2684541.0,5971111.0
195,2005-10-28,2.23,2.14,2.25,2.1,3078019.0,6655341.0
196,2005-10-31,2.14,2.17,2.18,2.13,2142806.0,4624952.0
197,2005-11-01,2.17,2.15,2.17,2.13,1401313.0,3005444.0
198,2005-11-02,2.16,2.22,2.23,2.15,2720683.0,6004340.0
199,2005-11-03,2.22,2.18,2.25,2.18,1552051.0,3420382.0
200,2005-11-04,2.15,2.2,2.21,2.15,1470708.0,3221056.0
201,2005-11-07,2.2,2.23,2.23,2.17,1747788.0,3848462.0
202,2005-11-08,2.23,2.34,2.39,2.2,6340755.0,14594975.0
203,2005-11-09,2.32,2.36,2.45,2.29,7343606.0,17359338.0
204,2005-11-10,2.35,2.23,2.35,2.2,3738401.0,8528823.0
205,2005-11-11,2.2,2.26,2.29,2.18,1936199.0,4374130.0
206,2005-11-14,2.26,2.27,2.3,2.22,1259827.0,2855117.0
207,2005-11-15,2.29,2.23,2.29,2.22,1636315.0,3689002.0
208,2005-11-16,2.23,2.27,2.27,2.2,1501881.0,3361901.0
209,2005-11-17,2.27,2.28,2.29,2.24,1449977.0,3297134.0
210,2005-11-18,2.28,2.4,2.4,2.27,7801010.0,18385399.0
211,2005-11-21,2.64,2.52,2.64,2.5,27089517.0,69871309.0
212,2005-11-22,2.5,2.43,2.51,2.42,6790713.0,16656944.0
213,2005-11-23,2.42,2.44,2.47,2.4,4047418.0,9904099.0
