,date,open,close,high,low,volume,money
0,2005-01-31,3.43,3.24,3.59,3.22,25784203.0,89108447.0
1,2005-02-28,3.24,3.49,3.68,3.18,37916964.0,132957569.0
2,2005-03-31,3.49,2.85,3.51,2.63,48097108.0,145533838.0
3,2005-04-29,2.85,2.66,3.15,2.41,68042207.0,193706345.0
4,2005-05-31,2.65,2.55,2.7,2.43,28305633.0,72637382.0
5,2005-06-29,2.55,2.53,2.8,2.44,49978061.0,129793997.0
6,2005-07-29,2.46,2.08,2.46,1.72,96373793.0,196054259.0
7,2005-08-31,2.08,2.56,2.65,2.06,195883560.0,469015264.0
8,2005-09-30,2.6,2.41,2.97,2.34,204407911.0,555627662.0
9,2005-10-31,2.45,2.17,2.51,2.1,43500341.0,102657370.0
10,2005-11-30,2.17,2.35,2.64,2.13,93401387.0,224644848.0
11,2005-12-09,2.35,2.31,2.42,2.16,17608129.0,40469096.0
12,2006-01-25,2.54,2.54,2.54,2.45,19031129.0,48052604.0
13,2006-02-28,2.52,2.88,3.0,2.48,182029905.0,497967632.0
14,2006-03-31,2.88,2.94,3.18,2.56,178692814.0,517177070.0
15,2006-04-28,2.94,3.09,3.47,2.9,231887229.0,728142466.0
16,2006-05-31,3.12,3.36,3.68,2.98,286705430.0,950969980.0
17,2006-06-29,3.35,3.63,4.19,3.33,279404882.0,1047548573.0
18,2006-07-31,3.67,3.65,4.04,3.57,190677378.0,727179183.0
19,2006-08-31,3.64,3.83,3.97,3.32,124688290.0,455743097.0
20,2006-09-29,3.81,4.36,4.42,3.66,260109026.0,1057228601.0
21,2006-10-31,4.45,3.85,4.57,3.65,157389342.0,648850327.0
22,2006-11-30,3.85,4.49,4.55,3.67,307144890.0,1250667404.0
23,2006-12-29,4.45,4.23,4.65,4.1,348123219.0,1514589714.0
24,2007-01-31,4.23,4.85,5.36,4.13,547144485.0,2568823425.0
25,2007-02-28,4.7,5.43,5.78,4.6,256910240.0,1321878783.0
26,2007-03-30,5.4,7.5,8.48,5.16,629055226.0,4308079202.0
27,2007-04-30,7.5,10.5,10.5,7.42,666511270.0,5944537203.0
28,2007-05-31,10.91,13.18,15.0,10.91,616379253.0,7958700142.0
29,2007-06-28,13.11,11.6,13.8,10.74,483527935.0,6049072421.0
30,2007-07-31,11.02,12.82,12.98,9.43,324120267.0,3560896536.0
31,2007-08-31,12.72,13.23,13.68,11.73,384675777.0,4925065175.0
32,2007-09-28,13.35,14.53,14.94,12.45,388975177.0,5379118302.0
33,2007-10-31,14.63,15.07,16.0,13.27,323473244.0,4780739404.0
34,2007-11-30,15.26,11.5,15.87,11.1,221929212.0,3115724756.0
35,2007-12-27,11.27,15.9,16.0,11.27,189976696.0,2698163350.0
36,2008-01-31,15.82,13.65,17.36,13.6,219536553.0,3408933437.0
37,2008-02-29,13.75,14.58,14.7,12.97,103989999.0,1476730102.0
38,2008-03-10,14.6,14.33,15.68,14.32,71022626.0,1066317447.0
39,2008-05-30,9.85,7.34,10.7,7.21,259699252.0,2254566679.0
40,2008-06-30,7.33,4.87,7.54,4.18,303940034.0,1671940036.0
41,2008-07-31,4.88,4.92,5.89,4.36,387736370.0,2012563507.0
42,2008-08-29,4.9,3.7,5.15,3.28,143461392.0,571611324.0
43,2008-09-26,3.6,3.24,3.76,2.75,162631192.0,536339269.0
