,date,open,close,high,low,volume,money
0,2005-01-07,3.43,3.48,3.55,3.35,3863179.0,13249640.0
1,2005-01-14,3.5,3.48,3.59,3.46,8008402.0,28223156.0
2,2005-01-21,3.44,3.48,3.48,3.28,7125505.0,24300787.0
3,2005-01-28,3.58,3.36,3.59,3.35,5467414.0,19022721.0
4,2005-02-04,3.35,3.51,3.53,3.18,12641948.0,42956709.0
5,2005-02-18,3.62,3.44,3.68,3.44,10170444.0,35953259.0
6,2005-02-25,3.45,3.54,3.66,3.43,14374097.0,51156297.0
7,2005-03-04,3.52,3.39,3.56,3.38,7953943.0,27490813.0
8,2005-03-11,3.38,3.3,3.48,3.26,7603807.0,25634370.0
9,2005-03-18,3.3,2.86,3.3,2.81,11890164.0,36518931.0
10,2005-03-25,2.82,2.76,2.9,2.65,10768963.0,29801294.0
11,2005-04-01,2.76,2.89,2.98,2.63,15886989.0,44590048.0
12,2005-04-08,2.88,3.1,3.1,2.76,25286143.0,74484834.0
13,2005-04-15,3.09,2.78,3.15,2.77,17314800.0,51738638.0
14,2005-04-22,2.78,2.53,2.83,2.49,10868070.0,28891698.0
15,2005-04-29,2.52,2.66,2.74,2.41,10616614.0,27293004.0
16,2005-05-13,2.65,2.52,2.68,2.44,9876958.0,25171711.0
17,2005-05-20,2.5,2.56,2.7,2.43,10723270.0,27794176.0
18,2005-05-27,2.54,2.52,2.65,2.48,6101967.0,15595189.0
19,2005-06-03,2.51,2.45,2.59,2.44,4600021.0,11531775.0
20,2005-06-10,2.45,2.65,2.8,2.45,20696514.0,54905820.0
21,2005-06-17,2.63,2.5,2.71,2.45,9728577.0,24859251.0
22,2005-06-24,2.52,2.55,2.63,2.45,11967809.0,30755892.0
23,2005-07-01,2.57,2.28,2.63,2.28,8717712.0,21375898.0
24,2005-07-08,2.25,2.02,2.25,1.95,16424768.0,33784763.0
25,2005-07-15,2.0,2.03,2.11,1.98,10517031.0,21479934.0
26,2005-07-22,2.04,2.01,2.09,1.72,33130834.0,63935628.0
27,2005-07-29,2.0,2.08,2.19,1.98,32172026.0,67295601.0
28,2005-08-05,2.08,2.34,2.4,2.06,45061285.0,102370301.0
29,2005-08-12,2.34,2.37,2.58,2.26,53847855.0,130048867.0
30,2005-08-19,2.37,2.37,2.65,2.26,47557827.0,115669165.0
31,2005-08-26,2.37,2.47,2.53,2.31,26678338.0,64976796.0
32,2005-09-02,2.47,2.6,2.68,2.33,62867422.0,161063801.0
33,2005-09-09,2.6,2.8,2.97,2.58,79253400.0,221397369.0
34,2005-09-16,2.82,2.82,2.92,2.76,37915075.0,107313096.0
35,2005-09-23,2.83,2.47,2.84,2.4,31170424.0,83087204.0
36,2005-09-30,2.45,2.41,2.52,2.34,15939845.0,38716327.0
37,2005-10-14,2.45,2.39,2.51,2.29,14766732.0,35877624.0
38,2005-10-21,2.37,2.42,2.48,2.35,11998391.0,28974087.0
39,2005-10-28,2.41,2.14,2.43,2.1,14592412.0,33180707.0
40,2005-11-04,2.14,2.2,2.25,2.13,9287561.0,20276174.0
41,2005-11-11,2.2,2.26,2.45,2.17,21106749.0,48705728.0
42,2005-11-18,2.26,2.4,2.4,2.2,13649010.0,31588553.0
43,2005-11-25,2.64,2.38,2.64,2.36,44569092.0,112422623.0
44,2005-12-02,2.38,2.3,2.43,2.29,12686044.0,29811583.0
45,2005-12-09,2.27,2.31,2.34,2.16,11853866.0,26934235.0
46,2006-01-25,2.54,2.54,2.54,2.45,19031129.0,48052604.0
47,2006-02-10,2.52,2.61,2.64,2.48,38528339.0,98368345.0
48,2006-02-17,2.64,2.69,2.75,2.54,48691106.0,129719858.0
49,2006-02-24,2.68,2.97,3.0,2.67,76642380.0,217570762.0
50,2006-03-03,2.97,2.77,2.97,2.7,38727048.0,110132919.0
51,2006-03-10,2.77,2.62,2.78,2.56,16929169.0,44716982.0
52,2006-03-17,2.63,2.72,2.77,2.62,16599123.0,44929191.0
53,2006-03-24,2.76,2.86,2.99,2.71,52963872.0,153179472.0
54,2006-03-31,2.86,2.94,3.18,2.85,71641682.0,216527173.0
55,2006-04-07,2.94,2.99,3.07,2.91,44003238.0,131259987.0
56,2006-04-14,2.99,3.22,3.31,2.95,75580262.0,236737170.0
57,2006-04-21,3.22,3.24,3.47,3.1,64173570.0,211936797.0
58,2006-04-28,3.24,3.09,3.24,2.9,48130159.0,148208512.0
